Month,Day_of_Week,Hour,Crop_Growth_Stage,Water_Table_Depth_cm,Inundation_Duration_Days,Water_Flow_Velocity_ms,Water_pH,Soil_Moisture_VWC_Percent,Soil_Temperature_C,Vegetation_Coverage_Percent,Vegetation_Height_cm,Snail_Habitat_Risk,AWD_Gate_Action
Jan,Monday,0,Transplanting,2.9078671303339387,0.041666666666666664,0.16933114372873231,7.178428020647268,69.04716622523898,23.07924556167405,13.161337241586143,5.0,Low,0
Jan,Monday,1,Transplanting,2.666199461933432,0.08333333333333333,0.17026962550569483,6.586301078238938,70.0991645335604,23.760325275460314,14.81073461080871,5.789363421351858,Low,0
Jan,Monday,2,Transplanting,3.2758790198201013,0.125,0.21259700993580177,6.530252049470045,68.37078914581751,21.907957262195104,11.420669637034111,5.0,Low,0
Jan,Monday,3,Transplanting,3.8959027561439186,0.16666666666666666,0.16344935281736617,7.102792653475565,73.08310344484825,20.906814338843972,16.839409166805,5.0,Low,0
Jan,Monday,4,Transplanting,3.1356902246194256,0.20833333333333334,0.20613072225237317,7.0087091731504065,69.15920543770794,22.77445565468303,10.0,5.3622112330123395,Low,0
Jan,Monday,5,Transplanting,2.7787876250172716,0.25,0.16301978955408394,6.748026381132494,69.28414441434144,22.11005568475828,12.954422561340925,5.8770893759041325,Low,0
Jan,Monday,6,Transplanting,3.1170299833845765,0.2916666666666667,0.22786729032054465,6.847088050993879,73.07100129166523,22.270117715235763,10.0,5.4145282915887805,Low,0
Jan,Monday,7,Transplanting,3.2064114290887327,0.3333333333333333,0.21929350216696514,6.816680796294833,72.13940656656912,24.600109676235324,14.075625725391248,5.0,Low,0
Jan,Monday,8,Transplanting,3.4131329973692623,0.375,0.2198375174283576,6.754893897637641,72.82833824283587,25.480955969079986,12.738582567223084,10.078904724851483,Low,0
Jan,Monday,9,Transplanting,3.20681728705204,0.4166666666666667,0.14392687947689153,6.471916130508391,67.65395181214117,27.14783683779493,16.304067450288187,5.0,Low,0
Jan,Monday,10,Transplanting,3.7988363999974717,0.4583333333333333,0.2113520711688531,6.2375025634271495,76.29099769965195,28.54955624619497,12.399125772124671,5.0,Low,0
Jan,Monday,11,Transplanting,4.250432252595321,0.5,0.1850564767003833,6.499070975777674,71.31727478434503,30.758554093607366,10.0,5.0,Low,0
Jan,Monday,12,Transplanting,4.305829995578967,0.5416666666666666,0.22635551328527825,6.986430609335589,76.89111361797725,30.198478980745453,10.0,9.44549382429044,Low,0
